Date	Time	Severity	PID	TID	Function	Message
06-06-2026	22:14:26.351	 INFO	 54432	 56792	DllMain	"DLL_PROCESS_ATTACH Thu Jan  2 23:38:14 2025 11.3.2440.11"
06-06-2026	22:14:26.361	 INFO	 54432	 56792	DllMain	"PROCESS ATTACHED"
06-06-2026	22:14:26.364	 INFO	 54432	 48356	LateInitialization	"Intialization..."
06-06-2026	22:14:26.366	 INFO	 54432	 48356	LoadDisplayDevicesName	"DisplayDevices : "
06-06-2026	22:14:26.369	 INFO	 54432	 48356	LoadDisplayDevicesName	"\\.\DISPLAY1"
06-06-2026	22:14:26.372	 INFO	 54432	 48356	LoadDisplayDevicesName	"\\.\DISPLAY2"
06-06-2026	22:14:26.375	 INFO	 54432	 48356	LoadDisplayDevicesName	"\\.\DISPLAY3"
06-06-2026	22:14:26.382	 INFO	 54432	 48356	LoadDisplayDevicesName	"\\.\DISPLAY4"
06-06-2026	22:14:26.398	ERROR	 54432	 48356	LateInitialization	"std::exception caught = GetFileVersionInfoSizeW failed with 1813
"
06-06-2026	22:14:26.401	 INFO	 54432	 48356	LateInitialization	"Exe = C:\Program Files\Git\usr\bin\tail.exe
ProductName = 
FileDescription = 
ShadowFolder = %LOCALAPPDATA%\EndpointDLP\print-shadow
ParsingMode = Hybrid
DeletePrinterShadowFiles = 1
PrinterUseDisplayDevicesList = 0
EnablePrinterEscapeProcessing = 1
EnableWatermarkForAll = 0
MaxPrintPages = 4294967295
GdiPlusToken = 113701343
ExcludedEscapes = 4117, 37, 4118, 4115, 4121, "
06-06-2026	22:14:26.404	 INFO	 54432	 48356	LateInitialization	"Intialization finished"
06-06-2026	22:14:27.495	 INFO	 62236	  3604	DllMain	"DLL_PROCESS_ATTACH Thu Jan  2 23:38:14 2025 11.3.2440.11"
06-06-2026	22:14:27.502	 INFO	 62236	  3604	DllMain	"PROCESS ATTACHED"
06-06-2026	22:14:27.505	 INFO	 62236	 63312	LateInitialization	"Intialization..."
06-06-2026	22:14:27.507	 INFO	 62236	 63312	LoadDisplayDevicesName	"DisplayDevices : "
06-06-2026	22:14:27.511	 INFO	 62236	 63312	LoadDisplayDevicesName	"\\.\DISPLAY1"
06-06-2026	22:14:27.513	 INFO	 62236	 63312	LoadDisplayDevicesName	"\\.\DISPLAY2"
06-06-2026	22:14:27.516	 INFO	 62236	 63312	LoadDisplayDevicesName	"\\.\DISPLAY3"
06-06-2026	22:14:27.519	 INFO	 62236	 63312	LoadDisplayDevicesName	"\\.\DISPLAY4"
06-06-2026	22:14:27.545	ERROR	 62236	 63312	LateInitialization	"std::exception caught = GetFileVersionInfoSizeW failed with 1813
"
06-06-2026	22:14:27.547	 INFO	 62236	 63312	LateInitialization	"Exe = C:\Program Files\Git\usr\bin\bash.exe
ProductName = 
FileDescription = 
ShadowFolder = %LOCALAPPDATA%\EndpointDLP\print-shadow
ParsingMode = Hybrid
DeletePrinterShadowFiles = 1
PrinterUseDisplayDevicesList = 0
EnablePrinterEscapeProcessing = 1
EnableWatermarkForAll = 0
MaxPrintPages = 4294967295
GdiPlusToken = 113702500
ExcludedEscapes = 4117, 37, 4118, 4115, 4121, "
06-06-2026	22:14:27.550	 INFO	 62236	 63312	LateInitialization	"Intialization finished"
06-06-2026	22:24:36.563	 INFO	 61144	 45324	DllMain	"DLL_PROCESS_ATTACH Thu Jan  2 23:38:14 2025 11.3.2440.11"
06-06-2026	22:24:36.572	 INFO	 61144	 45324	DllMain	"PROCESS ATTACHED"
06-06-2026	22:24:36.574	 INFO	 61144	 62292	LateInitialization	"Intialization..."
06-06-2026	22:24:36.577	 INFO	 61144	 62292	LoadDisplayDevicesName	"DisplayDevices : "
06-06-2026	22:24:36.580	 INFO	 61144	 62292	LoadDisplayDevicesName	"\\.\DISPLAY1"
06-06-2026	22:24:36.583	 INFO	 61144	 62292	LoadDisplayDevicesName	"\\.\DISPLAY2"
06-06-2026	22:24:36.585	 INFO	 61144	 62292	LoadDisplayDevicesName	"\\.\DISPLAY3"
06-06-2026	22:24:36.588	 INFO	 61144	 62292	LoadDisplayDevicesName	"\\.\DISPLAY4"
06-06-2026	22:24:36.597	ERROR	 61144	 62292	LateInitialization	"std::exception caught = GetFileVersionInfoSizeW failed with 1813
"
